               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12027,            0.022301,            0.029305,           0.0014125,             0.21765,           0.0013387,          0.00037774,             0.11481,            0.014185,            0.027563,              0.0883,              0.0013,              0.0013
                   1,             0.10541,            0.027344,            0.026791,           0.0027242,             0.50735,           0.0049652,           0.0014919,            0.095309,            0.015154,            0.025953,            0.075647,           0.0026465,           0.0026465
                   2,            0.091729,            0.031956,            0.022883,            0.024579,            0.029412,            0.070468,            0.025748,            0.080302,            0.015548,            0.022917,            0.062938,           0.0039376,           0.0039376
                   3,            0.080519,             0.03115,              0.0193,             0.39479,             0.24706,             0.22689,            0.083899,            0.081263,            0.014649,            0.022959,            0.050173,           0.0051733,           0.0051733
                   4,            0.075693,            0.030078,            0.017383,             0.37482,             0.25147,             0.25333,             0.10144,            0.077541,            0.016501,            0.020704,            0.037354,           0.0063535,           0.0063535
                   5,            0.074047,            0.029322,            0.016436,             0.22643,             0.40588,             0.23038,            0.079442,            0.072038,            0.018087,             0.01671,            0.024478,           0.0074783,           0.0074783
                   6,            0.072247,            0.029526,            0.017388,             0.30635,             0.36029,             0.28666,             0.11594,            0.079921,            0.013668,            0.016553,            0.011548,           0.0085476,           0.0085476
                   7,            0.068356,            0.026909,            0.015722,              0.3578,             0.25147,             0.30745,              0.1469,            0.068681,            0.012405,             0.01524,            0.008614,            0.008614,            0.008614
                   8,            0.067152,            0.027445,            0.014729,             0.25882,             0.31029,             0.25955,             0.10702,            0.070503,             0.01209,            0.014408,            0.008614,            0.008614,            0.008614
                   9,            0.061152,            0.026814,            0.015775,             0.26144,             0.38858,             0.24371,            0.087497,            0.068677,            0.012207,            0.015069,            0.008416,            0.008416,            0.008416
                  10,            0.060762,            0.026121,            0.013144,             0.48169,             0.41471,             0.39291,             0.18043,            0.060667,            0.012543,            0.014248,            0.008218,            0.008218,            0.008218
                  11,            0.058397,            0.024737,            0.011434,             0.48178,             0.50294,             0.41138,             0.18919,            0.056537,              0.0111,            0.011801,             0.00802,             0.00802,             0.00802
